Table Name,Schema,Description
Aircraft,dbo,"Aircraft master table storing aircraft details including tail numbers, aircraft types, commissioning dates, and maintenance schedules. Key columns: AircraftId (PK), TailNumber, AircraftTypeId (FK), CommissioningDate, LastCheck, TenantId. Relationships: Links to AircraftType table for aircraft specifications. Used for fleet management and maintenance tracking."
AircraftType,dbo,"Aircraft type specifications including make, model, seat configuration, and passenger capacity. Key columns: AircraftTypeId (PK), AircraftType, AircraftMake, SeatConfiguration, PassengerCapacity, TenantId. Relationships: Referenced by Aircraft table. Essential for flight planning and resource allocation."
AirportMaster,dbo,"Master data for airports with IATA codes, names, cities, and countries. Key columns: AirportId (PK), AirportCode, AirportName, City, CountryId (FK), TenantId. Relationships: Links to Countries table. Critical for flight routing and operations planning."
Asset,dbo,"Core asset management table tracking physical assets with comprehensive lifecycle data. Key columns: AssetId (PK), AssetNumber, Description, CategoryId, LocationId, DepreciationMethod, CheckoutStatus, SerialNumber, AssetCondition, TenantId. Relationships: Links to Location, Department, Owner tables. Central to asset tracking, maintenance, and financial management."
AssetDepreciation,dbo,"Financial depreciation tracking for assets over time. Key columns: Id (PK), AssetId (FK), DepreciationDate, AssetCost, DepreciatedValue. Relationships: Child table of Asset. Used for financial reporting and asset valuation."
AssetHistory,dbo,"Audit trail for all asset-related activities and changes. Key columns: AssetHistoryId (PK), AssetId (FK), Type, Description, CreatedOn, CreatedBy. Relationships: Child table of Asset, links to Users. Provides complete asset lifecycle tracking."
AutoIncrement,dbo,"System table managing auto-generated numbers with prefixes for various entities. Key columns: AutoIncrementId (PK), IncrementNumber, Prefix, PadNumber, Entity. Used for generating unique identifiers like ticket numbers, tool kit IDs."
BagHistory,dbo,"Real-time baggage tracking history at various scan points. Key columns: HistoryId (PK), BagId (FK), ScanPointId (FK), ScanTime, ScanUserId. Relationships: Links to BagList, ScanPoint, Users. Critical for baggage handling operations."
BagList,dbo,"Master baggage registry with current status and location tracking. Key columns: Id (PK), BagId, PassengerId (FK), CurrentStatus, LastSeenAt, LastSeenTime, Weight, TenantId. Relationships: Links to PassengerItinerary. Core table for baggage management system."
BedAllocation,dbo,"Hospital bed allocation and patient assignment tracking. Key columns: BedAllocationID (PK), WardLocationID, BedID, PatientID, StartFrom, EndAt, isActive, OTScheduleID. Relationships: Links to MasterBeds, Patients, OTSchedule. Used in healthcare facility management."
BinMaster,dbo,"Warehouse storage bin management with capacity and location details. Key columns: BinId (PK), BinCode, RackCode, AisleCode, Levels, WeightCapacity, Status, BinTypeId, TenantId. Essential for warehouse operations and inventory management."
BLETagAllocation,dbo,"Bluetooth Low Energy tag assignment for asset and personnel tracking. Key columns: BLEAllocationID (PK), BLETagID (FK), PatientID, StaffID, AssignedOn, IsActive, AllocationType. Relationships: Links to BLETags, Patients, Staff. Used for real-time location tracking."
BLETags,dbo,"BLE device registry with battery status and location tracking. Key columns: BLETagID (PK), TagNumber, IsAssigned, TagType, IsActive, LastSeen, BatteryLevel, LastSeenLocation. Core table for IoT-based tracking infrastructure."
BusinessRuleLocation,dbo,"Association table linking business rules to specific locations. Key columns: BRLId (PK), BusinessRuleId (FK), LocationId (FK). Relationships: Links BusinessRuleMaster to Location. Enables location-specific rule enforcement."
BusinessRuleMaster,dbo,"Configurable business rules with time and date constraints. Key columns: BusinessRuleId (PK), Name, RuleType, MinMaxValue, IsValidDate, ApplicableStartDate, ApplicableEndDate, TenantId. Used for automated policy enforcement."
BusinessUnits,dbo,"Organizational hierarchy structure for business units. Key columns: UnitId (PK), Name, ParentUnitId (FK). Self-referencing table for organizational management and reporting structures."
CargoMoveHistory,dbo,"Audit trail for cargo movement and status changes. Key columns: MoveId (PK), CargoId (FK), TransactionType, TimeStamp, Description. Relationships: Links to CargoPackage. Tracks cargo lifecycle events."
CargoPackage,dbo,"Comprehensive cargo shipment tracking with sender/receiver details. Key columns: CargoId (PK), CargoNumber, AWB, MAWB, HAWB, SenderName, ConsigneeName, FlightNumber, Status, BinId, TenantId. Central to cargo operations and logistics."
CarrierMaster,dbo,"Airline carrier master data with codes and names. Key columns: CarrierId (PK), CarrierCode, CarrierName, TenantId. Referenced by flight operations for carrier identification."
Contacts,dbo,"Contact information registry for external parties. Key columns: ContactId (PK), FirstName, LastName, Email, IdentityNo, UserId. Used for customer and vendor management."
Countries,dbo,"Global country master data with ISO codes. Key columns: CountryId (PK), CountryName, TwoCharCountryCode, ThreeCharCountryCode. Referenced by airports, organizations, and addresses."
DashboardWidget,dbo,"Dashboard widget configuration and metadata. Key columns: WidgetId (PK), HtmlId, WidgetType, Description. Used for customizable dashboard creation and user interface management."
DataAuditLog,dbo,"System-wide audit logging for all data changes. Key columns: LogId (PK), LogType, LogDate, UserId, TableName, RecordId, FieldName, OldValue, NewValue. Critical for compliance and change tracking."
Department,dbo,"Organizational department master data. Key columns: DepartmentId (PK), DepartmentCode, DepartmentName, TenantId. Referenced by assets, users, and organizational structures."
Exceptions,dbo,"Application error and exception logging system. Key columns: Id (PK), GUID, ApplicationName, CreationDate, Type, Message, Detail, StatusCode. Used for system monitoring and debugging."
FavoriteMenu,dbo,"User-specific favorite menu items and shortcuts. Key columns: Id (PK), Title, URL, CreatedBy. Enhances user experience with personalized navigation."
FileSystem,dbo,"File and document management system. Key columns: Id (PK), FullPath, Filename, Extension, Size, IsDirectory, Contents, CreationTime. Manages document storage and retrieval."
FlightMaster,dbo,"Flight schedule and operations management. Key columns: FlightId (PK), FlightNumber, CarrierId, ETD, ETA, ATD, ATA, AirportFromId, AirportToId, AircraftTypeId, TenantId. Core table for flight operations."
GSEDataV,dbo,"GSE (Ground Support Equipment) device mapping data. Key columns: SNO, IMEINo, AssetNo, Tenant. Links physical devices to asset numbers for tracking."
GSEType_Mapping,dbo,"GSE type to icon mapping for visualization. Key columns: code, Icon_name. Used for user interface representation of equipment types."
IssueOrderDetail,dbo,"Cargo issue order line items. Key columns: DetailId (PK), IssueId (FK), CargoId (FK). Relationships: Links to IssueOrderMaster and CargoPackage. Manages cargo release operations."
IssueOrderMaster,dbo,"Cargo issue order headers with delivery details. Key columns: IssueId (PK), RecieverName, DeliveryDockNumber, VehicleNumber, Remarks, TenantId. Controls cargo release process."
Languages,dbo,"Multi-language support configuration. Key columns: Id (PK), LanguageId, LanguageName, TenantId. Enables internationalization and localization."
Location,dbo,"Hierarchical location management with geofencing capabilities. Key columns: LocationId (PK), LocationCode, LocationName, LocationTypeId, ParentLocationId, GeoFence, xCoordinate, yCoordinate, TenantId. Central to spatial operations and asset tracking."
LocationType,dbo,"Location type classification system. Key columns: LocationTypeId (PK), Name, Icon, TenantId. Defines categories for different location types."
LookupData,dbo,"Configurable master data with hierarchical structure. Key columns: LookupDataId (PK), Code, Name, LookupCode, ModuleId, ParentId, F1Value-F10Value, TenantId. Flexible system for managing reference data."
LookupMaster,dbo,"Lookup data type definitions and field configurations. Key columns: LookupId (PK), LookupCode, ModuleId, DisplayName, HasParent, F1Name-F10Name, TenantId. Defines structure for configurable lookup tables."
Mail,dbo,"Email queue and delivery tracking system. Key columns: MailId (PK), Subject, Body, MailFrom, MailTo, Status, RetryCount, SentDate. Manages automated email communications."
MapLocation,dbo,"Geographic coordinate mapping for locations on maps. Key columns: MLId (PK), MapId (FK), LocationId (FK), XCoordinate, YCoordinate, TenantId. Links locations to map visualizations."
MapManagement,dbo,"Map image and visualization management. Key columns: MapId (PK), MapName, MapImage, TenantId. Stores map configurations for location visualization."
MasterBeds,dbo,"Hospital bed registry with location coordinates. Key columns: BedID (PK), LocationID, BedNumber, IsActive, xAxis, yAxis, IsReserved. Used in healthcare facility management."
MasterBlock,dbo,"Building block/wing management in facilities. Key columns: BlockID (PK), BlockName, BlockPlanSrcPath, IsActive, BuildingID. Part of hierarchical facility structure."
MasterBuilding,dbo,"Building registry for organizational facilities. Key columns: BuildingID (PK), OrganizationId, BuildingCode, BuildingName, isActive. Top level of facility hierarchy."
MasterCity,dbo,"City master data linked to countries. Key columns: CityId (PK), CountryId (FK), CityName. Geographic reference data for addresses and locations."
MasterCountry,dbo,"Country master data with codes. Key columns: CountryId (PK), CountryName, Code. Geographic reference data for international operations."
MasterDepartment,dbo,"Department registry linked to organizations and locations. Key columns: DepartmentID (PK), OrganizationId, LocationId, DepartmentName, IsActive. Organizational structure management."
MasterFloor,dbo,"Floor plans and layouts within buildings. Key columns: FloorID (PK), BuildingId, BlockID, FloorName, FloorPlanSrcPath, IsActive. Facility layout management."
MasterLocation,dbo,"Physical location coordinates within facilities. Key columns: LocationID (PK), FloorID, BlockId, BuildingId, LocationName, X, Y, IsActive. Precise location mapping."
MasterLocationCategory,dbo,"Location category classification. Key columns: MasterLocationCategoryId (PK), MasterLocationCategory. Defines types like Ward, Operation Theater, Reception."
MasterLocations,dbo,"Extended location management with geographic boundaries. Key columns: LocationID (PK), LocationCategoryID, LocationCode, LocationName, LocationTypeID, ParentLocationID, EastX, EastY, WestX, WestY. Advanced spatial management."
MasterLocationType,dbo,"Location type hierarchy definitions. Key columns: MasterLocationTypeID (PK), LocationType, ParentLocationTypeID, IsActive. Hierarchical location classification."
MasterOrganization,dbo,"Organization registry with contact details. Key columns: OrganizationId (PK), OrganizationName, ContactPerson, ContactNumber, ContactEmail, Address, CountryId, CityId. Core organizational data."
Masters,dbo,"Module-specific master data registry. Key columns: MasterID (PK), ModuleID, MasterName, MasterValue. Links master data to specific application modules."
MasterStaff,dbo,"Staff registry with qualifications and contact details. Key columns: StaffID (PK), OrganizationId, StaffCategoryID, UserID, StaffCode, FullName, Designation, Contact1, Email, IsActive. Personnel management."
MasterStaffCategory,dbo,"Staff category and role classification. Key columns: StaffCategoryID (PK), OrganizationId, ParentCategoryID, CategoryName, IsActive. Hierarchical staff classification."
MasterStaffDepartment,dbo,"Staff to department assignment mapping. Key columns: StaffDepartmentID (PK), StaffID (FK), DepartmentID (FK). Many-to-many relationship for staff assignments."
MasterStatus,dbo,"Status definitions for various entities. Key columns: StatusID (PK), OrganizationId, StatusType, Status, IsActive. Configurable status management."
MaterialCategory,dbo,"Material and parts category classification. Key columns: MaterialCategoryId (PK), MaterialTypeName, IsActive, TenantId. Inventory categorization system."
MaterialMaster,dbo,"Material and parts catalog with specifications. Key columns: MaterialMasterId (PK), MaterialNumber, ShortDescription, LongDescription, MaterialCategoryId, ControlType, Length, Width, Height, Weight, TenantId. Inventory management."
MaterialStock,dbo,"Material inventory tracking with serial/batch numbers. Key columns: MaterialStockId (PK), InventoryNumber, MaterialNumber, Quantity, IncomingReference, OutgoingReference, SerialNumber, BatchNumber, ExpiryDate, Status, TenantId. Stock management."
MeetingAgendaRelevant,dbo,"Meeting agenda stakeholder associations. Key columns: AgendaRelevantId (PK), AgendaId (FK), ContactId (FK). Links agenda items to relevant contacts."
MeetingAgendas,dbo,"Meeting agenda items and topics. Key columns: AgendaId (PK), MeetingId (FK), AgendaNumber, Title, Description, AgendaTypeId, RequestedByContactId. Meeting management system."
MeetingAgendaTypes,dbo,"Meeting agenda type classifications. Key columns: AgendaTypeId (PK), Name. Categorizes different types of agenda items."
MeetingAttendees,dbo,"Meeting participant tracking and attendance. Key columns: AttendeeId (PK), MeetingId (FK), ContactId (FK), AttendeeType, AttendanceStatus. Meeting participation management."
MeetingDecisionRelevant,dbo,"Meeting decision stakeholder associations. Key columns: DecisionRelevantId (PK), DecisionId (FK), ContactId (FK). Links decisions to relevant parties."
MeetingDecisions,dbo,"Meeting decisions and action items. Key columns: DecisionId (PK), MeetingId (FK), AgendaId, Description, DecisionNumber, ResponsibleContactId, DueDate, ResolutionStatus. Decision tracking system."
MeetingLocations,dbo,"Meeting venue and location registry. Key columns: LocationId (PK), Name, Address, Latitude, Longitude. Meeting location management."
Meetings,dbo,"Meeting scheduling and management. Key columns: MeetingId (PK), MeetingName, MeetingNumber, MeetingTypeId, StartDate, EndDate, LocationId, OrganizerContactId. Core meeting management."
MeetingTypes,dbo,"Meeting type classifications. Key columns: MeetingTypeId (PK), Name. Categorizes different meeting types."
Module,dbo,"Application module registry. Key columns: ModuleId (PK), Name. Defines functional modules like GSE, Asset, Tool."
NotificationGroup,dbo,"Notification group configuration for alerts. Key columns: NotificationGroupId (PK), GroupName, NotifyOnEmail, NotifyOnWhatsapp, NotifyOnTelegram, NotifyOnSMS. Alert distribution management."
NotificationGroupEventTypes,dbo,"Event types associated with notification groups. Key columns: NotificationGroupEventTypeId (PK), NotificationGroupId (FK), EventTypesId (FK). Links events to notification groups."
NotificationGroupRoles,dbo,"Role-based notification group membership. Key columns: NotificationGroupRoleId (PK), NotificationGroupId (FK), RoleId (FK). Role-based alert distribution."
NotificationGroupUsers,dbo,"User-specific notification group membership. Key columns: NotificationGroupUserId (PK), NotificationGroupId (FK), UserId (FK). User-based alert distribution."
Notifications,dbo,"Flight-related notification and alert system. Key columns: NotificationID (PK), FlightID (FK), NotificationType, ActionDate, DismissReq. Flight operations alerting."
