table_name,description
Customer,"Core customer table storing complete client information including personal details (name, email, mobile, address, DOB), financial details (bank account, DMAT number, PAN, Aadhaar), KYC status, up to 4 nominees with allocation percentages, risk profile, communication preferences, FATCA status, and onboarding status. Key fields: first_name, last_name, email, mob_no, pan_card_number, kyc_status, isonboarded. there is one current status table this is use for the tracking the customer current status tell's ongoing or contacted "
Non_financial_transactions,"Customer service and support ticket management table tracking non-financial queries and issues. Contains ticket details (ticket_id, query_type, department), priority and escalation levels, TAT tracking (open_date, close_date), assigned employee, customer acknowledgment status, and conversation notes. Key fields: name, query_type, ticket_id, employee_assigned, customer_acknowledged."
FinancialAssets,Master table for financial asset types used in risk profiling. Simple lookup table with unique asset names. Key field: name.
Risk_Profile,"Customer risk assessment questionnaire results storing investor profile data including demographics (age, income, dependents), investment duration preferences, primary goals, risk tolerance, adaptability, and calculated risk scores. Links to FinancialAssets via ManyToMany. Key fields: full_name, email, age, annual_income, risk_score."
Daily_Transaction_Insurance,"Insurance policy management table tracking all insurance products including life, health, motor, and property insurance. Stores policy details (number, company, type), coverage amounts, premium information, policy dates, payment modes, and up to 5 policy holders with relationships. Key fields: customer_id, insurance_type, policy_number, sum_insured, premium, status."
Tasks,"Task and project management system for internal operations. Tracks task assignments, deadlines, priorities, status progression, team collaboration with sub-members, customer associations, and activity logs. Supports rich text descriptions. Key fields: task_name, assigned_to, created_by, due_date, status, priority."
EmployeeProfile,"Employee master data extending Django User model with comprehensive HR information including personal details, banking information, appointment details, KYC documents (PAN, Aadhaar), designation, benefits, and termination data. Key fields: user, email, pan_number, designation, date_of_joining."
Calender_data,"Calendar and meeting management system for scheduling client calls, team meetings, and time-off tracking. Supports recurring events, team member assignments, meeting links, and automated notifications. Key fields: created_by, title, start, end, task_purpose, team_members."
MF_Transaction,"Detailed mutual fund transaction processing system covering all transaction types (SIP, lump sum, switch, redemption). Manages investor details including joint holders, fund information, payment modes, systematic investment parameters, and transaction lifecycle tracking. Key fields: customer_id, transaction_type, amount, destination_fund_name, folio_number, transaction_date."
Notification,"System notification management for calendar events and task reminders. Links users to calendar tasks with read/unread status tracking and notification metadata. Key fields: user, calendar_task, message, is_read, created_at."
